PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,HOF
Al Oliver,18,2368,9049,1189,2743,529,77,219,1326,535,756,84,64,0.303,0
Carlos Beltran,20,2586,9768,1582,2725,565,78,435,1587,1084,1795,312,49,0.279,0
Rusty Staub,23,2951,9720,1189,2716,499,47,292,1466,1255,888,47,33,0.279,0
Bill Buckner,22,2517,9397,1077,2715,498,49,174,1208,450,453,183,73,0.289,0
Dave Parker,19,2466,9358,1272,2712,526,75,339,1493,683,1537,154,113,0.29,0
Doc Cramer,20,2239,9140,1357,2705,396,109,37,842,572,345,62,73,0.296,0
Lave Cross,21,2275,9072,1333,2645,411,135,47,0,464,90,301,0,0.292,0
Tim Raines Sr.,23,2502,8872,1571,2605,430,113,170,980,1330,966,808,146,0.294,2
Steve Garvey,19,2332,8835,1143,2599,440,43,272,1308,479,1003,83,62,0.294,0
Luis Gonzalez,19,2591,9157,1412,2591,596,68,354,1439,1155,1218,128,87,0.283,0
Julio Franco,23,2527,8677,1285,2586,407,54,173,1194,917,1341,281,107,0.298,0
Willie Davis,18,2429,9174,1217,2561,395,138,182,1053,418,977,398,131,0.279,0
Steve Finley,19,2583,9397,1443,2548,449,124,304,1167,844,1299,320,118,0.271,0
George Vanhaltren,17,1984,8021,1639,2532,285,161,69,0,868,305,583,0,0.316,0
Garret Anderson,17,2228,8640,1084,2529,522,36,287,1365,429,1224,80,47,0.293,0
Todd Helton,17,2247,7962,1401,2519,592,37,369,1406,1335,1175,37,29,0.316,0
Buddy Bell,18,2405,8995,1151,2514,425,56,201,1106,836,776,55,79,0.279,0
Jimmy Ryan,18,2012,8164,1642,2502,451,157,118,0,803,361,418,0,0.306,0
Mickey Vernon,20,2409,8731,1196,2495,490,120,172,1311,955,869,137,90,0.286,0
Bobby Abreu,18,2425,8480,1453,2470,574,59,288,1363,1476,1840,400,128,0.291,0
Jeff Kent,17,2298,8498,1320,2461,560,47,377,1518,801,1522,94,60,0.29,0
Bill Dahlen,21,2443,9031,1589,2457,413,163,84,0,1064,269,547,0,0.272,0
Jimmy Rollins,17,2275,9294,1421,2455,511,115,231,936,813,1264,470,105,0.264,0
Torii Hunter,19,2372,8857,1296,2452,498,39,353,1391,661,1741,195,99,0.277,0
Dwight Evans,20,2606,8996,1470,2446,483,73,385,1384,1391,1697,78,59,0.272,0
Mark Grace,16,2245,8065,1179,2445,511,45,173,1146,1075,642,70,48,0.303,0
Kenny Lofton,17,2103,8120,1528,2428,383,116,130,781,945,1016,622,160,0.299,0
Stuffy McInnis,19,2128,7822,872,2405,312,101,20,416,380,189,172,59,0.307,0
Chili Davis,19,2436,8673,1240,2380,424,30,350,1372,1194,1698,142,98,0.274,0
Brett Butler,17,2213,8180,1359,2375,277,131,54,578,1129,907,558,257,0.29,0
Michael Young,14,1970,7918,1137,2375,441,60,185,1030,575,1235,90,30,0.3,0
Lou Whitaker,19,2390,8570,1386,2369,420,65,244,1084,1197,1099,143,75,0.276,0
Joe Judge,20,2171,7898,1184,2352,433,159,71,890,965,478,213,92,0.298,0
Paul Konerko,18,2349,8393,1162,2340,410,8,439,1412,921,1391,9,4,0.279,0
Bernie Williams,16,2076,7869,1366,2336,449,55,287,1257,1069,1212,147,87,0.297,0
Andres Galarraga,19,2257,8096,1195,2333,444,32,399,1425,583,2003,128,81,0.288,0
Edgar Renteria,16,2152,8142,1200,2327,436,29,140,923,718,1182,294,108,0.286,0
B.J. Surhoff,19,2313,8258,1062,2326,440,42,188,1153,640,839,141,84,0.282,0
Dave Concepcion,19,2488,8723,993,2326,389,48,101,950,736,1186,321,109,0.267,0
Jake Daubert,15,2014,7673,1117,2326,250,165,56,263,623,489,251,78,0.303,0
Aramis Ramirez,18,2194,8136,1098,2303,495,24,386,1417,633,1238,29,18,0.283,0
Charlie Grimm,20,2166,7917,908,2299,394,108,79,1060,578,410,57,44,0.29,0
Gary Gaetti,20,2507,8951,1130,2280,443,39,360,1341,634,1602,96,65,0.255,0
Tony Fernandez,17,2158,7911,1057,2276,414,92,94,844,690,784,246,138,0.288,0
Carlos Lee,14,2099,7983,1125,2273,469,19,358,1363,655,984,125,47,0.285,0
Jimmy Dykes,22,2282,8046,1108,2256,453,90,108,1057,958,850,70,55,0.28,0
Willie McGee,18,2201,7649,1010,2254,350,94,79,856,448,1238,352,121,0.295,0
Patsy Donovan,17,1821,7496,1318,2253,207,75,16,0,453,131,518,0,0.301,0
Tommy Corcoran,18,2200,8804,1184,2252,289,155,34,0,382,205,387,0,0.256,0
Jose Cruz,19,2353,7917,1036,2251,391,94,165,1077,898,1031,317,136,0.284,0
Marquis Grissom,17,2165,8275,1187,2251,386,56,227,967,553,1240,429,116,0.272,0
Bert Campaneris,19,2328,8684,1181,2249,313,86,79,646,618,1142,649,199,0.259,0
John Olerud,17,2234,7592,1139,2239,500,13,255,1230,1275,1016,11,14,0.295,0
Fred Tenney,17,1994,7595,1278,2231,270,77,22,0,874,43,285,0,0.294,0
Graig Nettles,22,2700,8986,1193,2225,328,28,390,1314,1088,1209,32,36,0.248,0
Darrell Evans,21,2687,8973,1344,2223,329,36,414,1354,1605,1410,98,68,0.248,0
Juan Pierre,14,1994,7525,1075,2217,255,94,18,517,464,479,614,203,0.295,0
Joe Kuhel,18,2104,7984,1236,2212,412,111,131,1049,980,612,178,90,0.277,0
Willie Randolph,18,2202,8018,1239,2210,316,65,54,687,1243,675,271,94,0.276,0
Willie Wilson,19,2154,7731,1169,2207,281,147,41,585,425,1144,668,134,0.285,0
Jason Kendall,15,2085,7627,1030,2195,394,35,75,744,721,686,189,89,0.288,0
Stan Hack,16,1938,7278,1239,2193,363,81,57,642,1092,466,165,0,0.301,0
Cecil Cooper,17,1896,7349,1012,2192,415,47,241,1125,448,911,89,49,0.298,0
Larry Bowa,16,2247,8418,987,2191,262,99,15,525,474,569,318,105,0.26,0
Joe Carter,16,2189,8422,1170,2184,432,53,396,1445,527,1387,231,66,0.259,0
Keith Hernandez,17,2088,7370,1124,2182,426,60,162,1071,1070,1012,98,63,0.296,0
Will Clark,15,1976,7173,1186,2176,440,47,284,1205,937,1190,67,48,0.303,0
Sherry Magee,16,2087,7441,1112,2169,425,166,83,0,736,359,441,12,0.291,0
Dick Bartell,18,2016,7629,1130,2165,442,71,79,710,748,627,109,3,0.284,0
Hal Chase,15,1919,7417,980,2158,322,124,57,0,276,306,363,15,0.291,0
Magglio Ordonez,15,1848,6978,1076,2156,426,21,294,1236,651,852,94,50,0.309,0
Don Mattingly,14,1785,7003,1007,2153,442,20,222,1099,588,444,14,9,0.307,0
Victor Martinez,16,1973,7297,914,2153,423,3,246,1178,730,891,7,7,0.295,0
Ruben Sierra,20,2186,8044,1084,2152,428,59,306,1322,610,1239,142,52,0.268,0
Ed Konetchy,15,2085,7649,972,2150,344,181,75,145,689,545,255,5,0.281,0
Ken Boyer,15,2034,7455,1104,2143,318,68,282,1141,713,1017,105,77,0.287,0
Ken Griffey Sr.,19,2097,7229,1129,2143,364,77,152,859,719,898,200,83,0.296,0
Tommy Leach,19,2156,7959,1355,2143,266,172,63,0,820,278,361,14,0.269,0
Placido Polanco,16,1927,7214,1009,2142,348,32,104,723,429,538,81,30,0.297,0
Dick Groat,14,1929,7484,829,2138,352,67,39,707,490,512,14,27,0.286,0
Jose Reyes,16,1877,7552,1180,2138,387,131,145,719,589,914,517,127,0.283,0
Wally Moses,17,2012,7356,1124,2138,435,110,89,679,821,457,174,81,0.291,0
Don Baylor,19,2292,8198,1236,2135,366,28,338,1276,805,1069,285,120,0.26,0
Maury Wills,14,1942,7588,1067,2134,177,71,20,458,552,684,586,208,0.281,0
Moises Alou,17,1942,7037,1109,2134,421,39,332,1287,737,894,106,37,0.303,0
Buddy Myer,17,1923,7038,1174,2131,353,130,38,850,965,428,156,109,0.303,0
Herman Long,16,1874,7674,1455,2127,342,97,91,0,612,261,534,0,0.277,0
Joe Mauer,15,1858,6930,1018,2123,428,30,143,923,939,1034,52,19,0.306,0
Tommy Davis,18,1999,7223,811,2121,272,35,153,1052,381,754,136,59,0.294,0
Dale Murphy,18,2180,7960,1197,2111,350,39,398,1266,986,1748,161,68,0.265,0
Chris Chambliss,17,2175,7571,912,2109,392,42,185,972,632,926,40,35,0.279,0
Ellis Burks,18,2000,7232,1253,2107,402,63,352,1206,793,1340,181,84,0.291,0
Paul O'Neill,17,2053,7318,1041,2105,451,21,281,1269,892,1166,141,73,0.288,0
Felipe Alou,17,2082,7339,985,2101,359,49,206,852,423,706,107,67,0.286,0
Clyde Milan,16,1982,7359,1004,2100,240,105,17,86,685,197,495,78,0.285,0
Brian Downing,20,2344,7853,1188,2099,360,28,275,1073,1197,1127,50,44,0.267,0
Garry Templeton,16,2079,7721,893,2096,329,106,70,728,375,1092,242,129,0.271,0
Matt Holliday,15,1903,7009,1157,2096,468,32,316,1220,802,1362,108,37,0.299,0
Alfonso Soriano,16,1975,7750,1152,2095,481,31,412,1159,496,1803,289,84,0.27,0
Harvey Kuenn,15,1833,6913,951,2092,356,56,87,671,594,404,68,56,0.303,0
Hal McRae,19,2084,7218,940,2091,484,66,191,1097,648,779,109,78,0.29,0
Alvin Dark,14,1828,7219,1064,2089,358,72,126,757,430,534,59,27,0.289,0
Cesar Cedeno,17,2006,7310,1084,2087,436,60,199,976,664,938,550,179,0.285,0
Tim Wallach,17,2212,8099,908,2085,432,36,260,1125,649,1307,51,66,0.257,0
Jimmy Sheckard,17,2122,7605,1296,2084,354,136,56,0,1135,233,465,0,0.274,0
Ed McKean,13,1654,6890,1227,2083,272,158,66,0,635,157,323,0,0.302,0
Carney Lansford,15,1862,7158,1007,2074,332,40,151,874,553,719,224,104,0.29,0
Dixie Walker,18,1905,6740,1037,2064,376,96,105,1023,817,325,59,10,0.306,0
Bobby Veach,14,1821,6656,953,2063,393,147,64,530,571,367,195,84,0.31,0
Del Ennis,14,1903,7254,985,2063,358,69,288,1284,597,719,45,19,0.284,0
Bob Elliott,15,1978,7141,1064,2061,382,94,170,1195,967,604,60,2,0.289,0
Wally Joyner,16,2033,7127,973,2060,409,26,204,1106,833,825,60,39,0.289,0
Orlando Cabrera,15,1985,7562,985,2055,459,32,123,854,514,745,216,57,0.272,0
Ray Durham,14,1975,7408,1249,2054,440,79,192,875,820,1201,273,97,0.277,0
Bob Johnson,13,1863,6920,1239,2051,396,95,288,1283,1075,851,96,64,0.296,0
Dummy Hoy,14,1796,7112,1426,2044,248,121,40,0,1004,210,594,0,0.287,0
A.J. Pierzynski,19,2059,7290,807,2043,407,24,188,909,308,895,15,23,0.28,0
Jack Glasscock,17,1736,7030,1163,2040,313,98,27,0,439,212,372,0,0.29,0
Mark Grudzielanek,15,1802,7052,946,2040,391,36,90,640,364,954,133,52,0.289,0
Carlos Delgado,17,2035,7283,1241,2038,483,18,473,1512,1109,1745,14,8,0.28,0
Raul Ibanez,19,2161,7471,1055,2034,424,51,305,1207,713,1374,50,29,0.272,0
Lee May,18,2071,7609,959,2031,340,31,354,1244,487,1570,39,35,0.267,0
Brandon Phillips,17,1902,7378,1005,2029,368,35,211,951,420,1092,209,84,0.275,0
Ken Singleton,15,2082,7189,985,2029,317,25,246,1065,1263,1246,21,36,0.282,0
Tony Phillips,18,2161,7617,1300,2023,360,50,160,819,1319,1499,177,114,0.266,0
Amos Otis,17,1998,7299,1092,2020,374,66,193,1007,757,1008,341,93,0.277,0
Reggie Smith,17,1987,7033,1123,2020,363,57,314,1092,890,1030,137,86,0.287,0
Gary Matthews,16,2033,7147,1083,2011,319,51,234,978,940,1125,183,74,0.281,0
Bobby Bonilla,16,2113,7213,1084,2010,408,61,287,1173,912,1204,45,57,0.279,0
Bill Madlock,15,1806,6594,920,2008,348,34,163,860,605,510,174,90,0.305,0
Tony Taylor,19,2195,7680,1005,2007,298,86,75,598,613,1083,234,111,0.261,0
Frank White,18,2324,7859,912,2006,407,58,160,886,412,1035,178,83,0.255,0
Todd Zeile,16,2158,7573,986,2004,397,23,253,1110,945,1279,53,51,0.265,0
Shawn Green,15,1951,7082,1129,2003,445,35,328,1070,744,1315,162,52,0.283,0
Ian Kinsler,14,1888,7423,1243,1999,416,41,257,909,693,1046,243,74,0.269,0
Del Pratt,13,1836,6826,856,1996,392,117,43,402,513,360,247,108,0.292,0
Willie Horton,18,2028,7298,873,1993,284,40,325,1163,620,1313,20,38,0.273,0
George Scott,14,2034,7433,957,1992,306,60,271,1051,699,1418,69,57,0.268,0
Gee Walker,15,1784,6771,954,1991,399,76,124,997,330,600,223,70,0.294,0
Charlie Jamieson,18,1779,6560,1062,1990,322,80,18,490,748,345,131,110,0.303,0
Jeff Conine,17,2024,6957,870,1982,385,36,214,1071,671,1168,54,29,0.285,0
Cy Williams,19,2002,6780,1024,1981,306,74,251,717,690,721,115,82,0.292,0
Dusty Baker,19,2039,7117,964,1981,320,23,242,1013,762,926,137,73,0.278,0
George Hendrick,18,2048,7129,941,1980,343,27,267,1111,567,1013,59,47,0.278,0
Phil Cavarretta,22,2030,6754,990,1977,347,99,95,920,820,598,65,0,0.293,0
Jay Bell,18,2063,7398,1123,1963,394,67,195,860,853,1443,91,60,0.265,0
Melky Cabrera,15,1887,6878,895,1962,383,45,144,854,510,891,101,37,0.285,0
Fred Lynn,17,1969,6925,1063,1960,388,43,306,1111,857,1116,72,54,0.283,0
Derrek Lee,15,1942,6962,1081,1959,432,30,331,1078,874,1622,104,48,0.281,0
Ben Chapman,15,1717,6478,1144,1958,407,107,90,977,824,556,287,135,0.302,0
Toby Harrah,17,2155,7402,1115,1954,307,40,195,918,1153,868,238,94,0.264,0
Tom Brown,17,1786,7363,1521,1951,239,138,64,0,748,708,657,0,0.265,0
Jim Edmonds,17,2011,6858,1251,1949,437,25,393,1199,998,1729,67,50,0.284,0
Steve Sax,14,1769,6940,913,1949,278,47,54,550,556,584,444,178,0.281,0
